"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SSC","SSC","NRG1","ERBB4",0.000102904280639759,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatid","NRG1","ERBB4",6.99460640366632e-05,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG1","ERBB4",0.00796545617971703,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG1","ERBB4",0.0608881929795675,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","SSC","NRG3","ERBB4",4.80857479426857e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatocyte","NRG3","ERBB4",1.77297347400835e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatid","NRG3","ERBB4",3.26652887737696e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG3","ERBB4",0.00428109819986201,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Leydig","NRG3","ERBB4",1.1784699440522e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Myoid","NRG3","ERBB4",2.53056390804051e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Fibroblast","NRG3","ERBB4",3.64990278447096e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Endothelial","NRG3","ERBB4",1.46466740483784e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG4","ERBB4",0.0355303644911433,0,"NRG4_ERBB4","NRG4 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","SSC","SPP1","ITGAV_ITGB1",4.10438346089449e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGAV_ITGB5",4.10871675905723e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGA9_ITGB1",4.11882837162053e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Leydig","SPP1","ITGA9_ITGB1",2.55078512440055e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA9_ITGB1",6.77653810989481e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGA8_ITGB1",4.75201555301009e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA8_ITGB1",6.95925774926056e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"SSC","SSC","SLIT2","ROBO1",1.48404411817593e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Spermatocyte","SLIT2","ROBO1",1.33786893984924e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Spermatid","SLIT2","ROBO1",1.17016028085915e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Sertoli","SLIT2","ROBO1",0.0012586402799785,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Leydig","SLIT2","ROBO1",1.96233871802352e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Myoid","SLIT2","ROBO1",2.00221651700464e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Fibroblast","SLIT2","ROBO1",7.08579770775583e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Endothelial","SLIT2","ROBO1",6.56065319916982e-06,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","SSC","SLIT2","ROBO2",3.21073543997488e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Spermatocyte","SLIT2","ROBO2",1.33505197567074e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Spermatid","SLIT2","ROBO2",1.32091809288751e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Sertoli","SLIT2","ROBO2",0.000816962010134259,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Leydig","SLIT2","ROBO2",6.70670007001015e-06,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Myoid","SLIT2","ROBO2",6.17083225921009e-06,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Fibroblast","SLIT2","ROBO2",1.50952128225674e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Endothelial","SLIT2","ROBO2",5.89628733853041e-06,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"Sertoli","Sertoli","LAMA1","ITGA6_ITGB1",0.022546880865611,0,"LAMA1_ITGA6_ITGB1","LAMA1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA2","ITGA6_ITGB1",0.0135611482672808,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMB1","ITGA6_ITGB1",0.00940456619101526,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","COL4A1","ITGA9_ITGB1",3.24355939114668e-06,0,"COL4A1_ITGA9_ITGB1","COL4A1 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
